eventType,ip,user_agent_raw,path
mlt-sport,"58.169.76.36, 184.86.223.79, 23.62.36.181",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0,/related?genres=Sport%2CFootball&maxRating=PG&source=5641707&started=true
mlt-sport,"220.240.224.126, 23.56.110.135, 10.32.5.76, 23.32.5.18","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/related?genres=Sport%2CRugby&maxRating=G&source=3495307&started=true
mlt-sport,"210.215.125.108, 10.214.88.164, 23.214.88.116, 23.32.5.52",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0,/related?genres=Sport%2CFootball&maxRating=PG&source=5545762&started=true
mlt-sport,"120.156.202.43, 23.213.128.4, 23.62.36.167",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0,/related?genres=Sport%2CFootball&maxRating=PG&source=5658349&started=true
mlt-sport,"203.59.198.22, 23.56.110.135, 23.32.5.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/related?genres=Sport%2CFootball&maxRating=PG&source=5486786&started=true
mlt-sport,"203.206.82.6, 203.213.73.180, 23.32.5.76",Dalvik/2.1.0 (Linux; U; Android 11; 4K SMART TV Build/RTM9.241015.007),/related?genres=Sport%2CRugby&maxRating=PG&source=5629279&tz=Australia%2FSydney
mlt-sport,"58.6.234.214, 23.214.88.175, 23.32.5.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/related?genres=Sport%2CFootball&maxRating=PG&source=5545764&started=true
mlt-sport,"122.150.157.231, 23.214.88.196, 23.32.5.52","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/related?genres=Sport&maxRating=PG&source=5670405&started=true
mlt-sport,"122.150.157.72, 23.214.88.109, 23.32.5.18",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0,/related?genres=Sport%2CRugby&maxRating=PG&source=5629282&started=true
mlt-sport,"123.243.238.147, 184.28.235.29, 10.39.162.140, 23.39.162.138","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/related?genres=Sport%2CFootball&maxRating=PG&source=5545773&started=true
